text,labels,clean_text,text_tokens,clean_text_tokens,label_tokens
Brian Allen narrates .,B-per I-per O O,brian allen narrates .,"['Brian', 'Allen', 'narrates', '.']","['brian', 'allen', 'narrates', '.']","['B-per', 'I-per', 'O', 'O']"
VOA 's Alex Villarreal reports .,B-org O B-per I-per O O,voa 's alex villarreal reports .,"['VOA', ""'s"", 'Alex', 'Villarreal', 'reports', '.']","['voa', ""'s"", 'alex', 'villarreal', 'reports', '.']","['B-org', 'O', 'B-per', 'I-per', 'O', 'O']"
VOA 's Carol Pearson reports .,B-org O B-per I-per O O,voa 's carol pearson reports .,"['VOA', ""'s"", 'Carol', 'Pearson', 'reports', '.']","['voa', ""'s"", 'carol', 'pearson', 'reports', '.']","['B-org', 'O', 'B-per', 'I-per', 'O', 'O']"
VOA 's Mandy Clark reports .,B-org O B-per I-per O O,voa 's mandy clark reports .,"['VOA', ""'s"", 'Mandy', 'Clark', 'reports', '.']","['voa', ""'s"", 'mandy', 'clark', 'reports', '.']","['B-org', 'O', 'B-per', 'I-per', 'O', 'O']"
Paul Sisco reports .,B-per I-per O O,paul sisco reports .,"['Paul', 'Sisco', 'reports', '.']","['paul', 'sisco', 'reports', '.']","['B-per', 'I-per', 'O', 'O']"
Russia backed Mr. Yushchenko 's opponent .,B-geo O B-per B-geo O O O,russia backed mr. yushchenko 's opponent .,"['Russia', 'backed', 'Mr.', 'Yushchenko', ""'s"", 'opponent', '.']","['russia', 'backed', 'mr.', 'yushchenko', ""'s"", 'opponent', '.']","['B-geo', 'O', 'B-per', 'B-geo', 'O', 'O', 'O']"
Subsequent constitutional reforms restored relative political stability .,O O O O O O O O,subsequent constitutional reforms restored relative political stability .,"['Subsequent', 'constitutional', 'reforms', 'restored', 'relative', 'political', 'stability', '.']","['subsequent', 'constitutional', 'reforms', 'restored', 'relative', 'political', 'stability', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
VOA 's Mil Arcega reports .,B-org O B-per I-per O O,voa 's mil arcega reports .,"['VOA', ""'s"", 'Mil', 'Arcega', 'reports', '.']","['voa', ""'s"", 'mil', 'arcega', 'reports', '.']","['B-org', 'O', 'B-per', 'I-per', 'O', 'O']"
Niger : 154th .,B-gpe O O O,niger : 154th .,"['Niger', ':', '154th', '.']","['niger', ':', '154th', '.']","['B-gpe', 'O', 'O', 'O']"
Privatization goals remain limited .,O O O O O,privatization goals remain limited .,"['Privatization', 'goals', 'remain', 'limited', '.']","['privatization', 'goals', 'remain', 'limited', '.']","['O', 'O', 'O', 'O', 'O']"
Three hundred thousand people fled westward .,O O O O O O O,three hundred thousand people fled westward .,"['Three', 'hundred', 'thousand', 'people', 'fled', 'westward', '.']","['three', 'hundred', 'thousand', 'people', 'fled', 'westward', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mining equipment hit rock bottom .,O O O O O O,mining equipment hit rock bottom .,"['Mining', 'equipment', 'hit', 'rock', 'bottom', '.']","['mining', 'equipment', 'hit', 'rock', 'bottom', '.']","['O', 'O', 'O', 'O', 'O', 'O']"
Diapers remained unchanged .,O O O O,diapers remained unchanged .,"['Diapers', 'remained', 'unchanged', '.']","['diapers', 'remained', 'unchanged', '.']","['O', 'O', 'O', 'O']"
Malawi 's high court reinstated Chilumpha last month .,B-geo O O O O B-per O O O,malawi 's high court reinstated chilumpha last month .,"['Malawi', ""'s"", 'high', 'court', 'reinstated', 'Chilumpha', 'last', 'month', '.']","['malawi', ""'s"", 'high', 'court', 'reinstated', 'chilumpha', 'last', 'month', '.']","['B-geo', 'O', 'O', 'O', 'O', 'B-per', 'O', 'O', 'O']"
Jim Bertel narrates .,B-per I-per O O,jim bertel narrates .,"['Jim', 'Bertel', 'narrates', '.']","['jim', 'bertel', 'narrates', '.']","['B-per', 'I-per', 'O', 'O']"
VOA 's Paul Sisco reports .,B-org O B-per I-per O O,voa 's paul sisco reports .,"['VOA', ""'s"", 'Paul', 'Sisco', 'reports', '.']","['voa', ""'s"", 'paul', 'sisco', 'reports', '.']","['B-org', 'O', 'B-per', 'I-per', 'O', 'O']"
Local officials blamed Kurdish separatists .,O O O O O O,local officials blamed kurdish separatists .,"['Local', 'officials', 'blamed', 'Kurdish', 'separatists', '.']","['local', 'officials', 'blamed', 'kurdish', 'separatists', '.']","['O', 'O', 'O', 'O', 'O', 'O']"
Amy Katz Narrates .,B-per I-per O O,amy katz narrates .,"['Amy', 'Katz', 'Narrates', '.']","['amy', 'katz', 'narrates', '.']","['B-per', 'I-per', 'O', 'O']"
John Garang,B-per I-per,john garang,"['John', 'Garang']","['john', 'garang']","['B-per', 'I-per']"
Carol Pearson narrates .,B-per I-per O O,carol pearson narrates .,"['Carol', 'Pearson', 'narrates', '.']","['carol', 'pearson', 'narrates', '.']","['B-per', 'I-per', 'O', 'O']"
VOA 's Mil Arcega reports .,B-org I-org B-per I-per O O,voa 's mil arcega reports .,"['VOA', ""'s"", 'Mil', 'Arcega', 'reports', '.']","['voa', ""'s"", 'mil', 'arcega', 'reports', '.']","['B-org', 'I-org', 'B-per', 'I-per', 'O', 'O']"
VOA 's Jeff Swicord Reports .,B-org O B-per I-per O O,voa 's jeff swicord reports .,"['VOA', ""'s"", 'Jeff', 'Swicord', 'Reports', '.']","['voa', ""'s"", 'jeff', 'swicord', 'reports', '.']","['B-org', 'O', 'B-per', 'I-per', 'O', 'O']"
Mohamed ElBaradei told reporters,B-per I-per O O,mohamed elbaradei told reporters,"['Mohamed', 'ElBaradei', 'told', 'reporters']","['mohamed', 'elbaradei', 'told', 'reporters']","['B-per', 'I-per', 'O', 'O']"
Russia 's foreign minister made similar comments Monday .,B-geo O O O O O O B-tim O,russia 's foreign minister made similar comments monday .,"['Russia', ""'s"", 'foreign', 'minister', 'made', 'similar', 'comments', 'Monday', '.']","['russia', ""'s"", 'foreign', 'minister', 'made', 'similar', 'comments', 'monday', '.']","['B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'O']"
Many mourners chanted anti-Syrian slogans .,O O O O O O,many mourners chanted anti-syrian slogans .,"['Many', 'mourners', 'chanted', 'anti-Syrian', 'slogans', '.']","['many', 'mourners', 'chanted', 'anti-syrian', 'slogans', '.']","['O', 'O', 'O', 'O', 'O', 'O']"
